iter	Passed	Remaining
0	13	69332
1	27	67667
2	40	66708
3	52	66136
4	65	65762
5	78	65455
6	91	65044
7	103	64875
8	116	64847
9	130	64895
10	142	64723
11	155	64624
12	168	64592
13	181	64635
14	193	64438
15	206	64173
16	218	64153
17	232	64295
18	245	64354
19	258	64289
20	271	64260
21	283	64138
22	296	64071
23	308	63987
24	321	63950
25	333	63888
26	346	63764
27	358	63684
28	371	63635
29	383	63554
30	395	63439
31	408	63390
32	420	63364
33	432	63237
34	445	63209
35	458	63170
36	471	63179
37	483	63109
38	496	63112
39	508	63067
40	521	63046
41	533	63005
42	545	62940
43	558	62899
44	570	62829
45	582	62737
46	594	62660
47	606	62596
48	619	62563
49	631	62556
50	644	62548
51	657	62530
52	669	62493
53	682	62542
54	694	62469
55	706	62401
56	719	62353
57	731	62308
58	743	62239
59	755	62217
60	767	62149
61	779	62070
62	791	62002
63	803	61950
64	815	61937
65	828	61919
66	840	61848
67	852	61798
68	864	61774
69	876	61732
70	888	61680
71	900	61619
72	912	61575
73	925	61590
74	936	61527
75	948	61453
76	960	61422
77	973	61431
78	985	61418
79	997	61360
80	1009	61318
81	1021	61263
82	1033	61206
83	1045	61165
84	1057	61164
85	1069	61102
86	1081	61058
87	1092	61006
88	1104	60958
89	1116	60933
90	1128	60892
91	1141	60876
92	1153	60857
93	1165	60825
94	1177	60790
95	1189	60756
96	1201	60711
97	1213	60683
98	1225	60649
99	1237	60619
100	1249	60583
101	1260	60551
102	1272	60514
103	1284	60474
104	1296	60462
105	1308	60392
106	1319	60350
107	1331	60299
108	1342	60241
109	1354	60219
110	1366	60195
111	1378	60164
112	1389	60111
113	1402	60100
114	1414	60070
115	1425	60035
116	1437	60001
117	1449	59976
118	1461	59939
119	1473	59921
120	1486	59922
121	1498	59909
122	1511	59911
123	1522	59865
124	1534	59826
125	1546	59813
126	1558	59789
127	1569	59737
128	1582	59736
129	1593	59693
130	1605	59665
131	1617	59646
132	1629	59613
133	1640	59589
134	1652	59548
135	1663	59509
136	1675	59482
137	1688	59488
138	1700	59475
139	1712	59444
140	1724	59426
141	1736	59394
142	1747	59369
143	1759	59317
144	1770	59281
145	1782	59256
146	1793	59226
147	1805	59196
148	1818	59198
149	1830	59195
150	1841	59150
151	1854	59142
152	1865	59098
153	1877	59068
154	1888	59031
155	1900	59007
156	1912	58997
157	1923	58958
158	1936	58949
159	1947	58919
160	1959	58900
161	1971	58873
162	1983	58857
163	1994	58821
164	2006	58798
165	2018	58766
166	2029	58737
167	2041	58710
168	2053	58690
169	2064	58653
170	2075	58617
171	2087	58582
172	2098	58556
173	2111	58570
174	2123	58535
175	2135	58534
176	2146	58502
177	2158	58478
178	2170	58447
179	2181	58421
180	2193	58390
181	2205	58372
182	2216	58347
183	2228	58319
184	2239	58293
185	2251	58262
186	2262	58241
187	2274	58222
188	2286	58204
189	2298	58176
190	2309	58156
191	2321	58145
192	2333	58115
193	2344	58089
194	2356	58064
195	2367	58034
196	2379	58010
197	2390	57974
198	2403	57980
199	2414	57958
200	2426	57931
201	2437	57902
202	2449	57875
203	2460	57856
204	2472	57827
205	2483	57804
206	2495	57789
207	2507	57758
208	2518	57738
209	2530	57730
210	2542	57713
211	2554	57691
212	2566	57668
213	2577	57643
214	2588	57614
215	2600	57595
216	2612	57593
217	2624	57576
218	2637	57586
219	2649	57569
220	2662	57565
221	2673	57547
222	2685	57526
223	2697	57520
224	2709	57495
225	2721	57479
226	2733	57473
227	2744	57447
228	2756	57431
229	2768	57413
230	2780	57398
231	2792	57388
232	2804	57372
233	2817	57384
234	2830	57388
235	2842	57380
236	2854	57371
237	2866	57354
238	2878	57346
239	2890	57328
240	2901	57300
241	2912	57270
242	2924	57249
243	2936	57235
244	2948	57226
245	2960	57204
246	2971	57180
247	2982	57153
248	2993	57124
249	3005	57105
250	3017	57085
251	3028	57057
252	3040	57043
253	3051	57025
254	3063	57007
255	3075	56992
256	3087	56979
257	3098	56953
258	3110	56945
259	3122	56929
260	3135	56925
261	3147	56912
262	3158	56895
263	3170	56869
264	3182	56855
265	3193	56837
266	3205	56828
267	3217	56815
268	3230	56810
269	3241	56788
270	3253	56771
271	3264	56745
272	3275	56723
273	3287	56704
274	3299	56692
275	3312	56692
276	3323	56671
277	3335	56652
278	3347	56636
279	3358	56620
280	3370	56606
281	3382	56594
282	3394	56574
283	3406	56563
284	3418	56550
285	3429	56525
286	3441	56512
287	3454	56519
288	3467	56519
289	3479	56514
290	3491	56496
291	3502	56479
292	3515	56469
293	3526	56446
294	3538	56442
295	3551	56443
296	3563	56426
297	3575	56412
298	3587	56400
299	3599	56398
300	3612	56388
301	3624	56384
302	3637	56385
303	3648	56362
304	3660	56351
305	3672	56331
306	3684	56320
307	3696	56306
308	3708	56299
309	3720	56284
310	3732	56268
311	3744	56263
312	3756	56245
313	3768	56233
314	3779	56212
315	3791	56200
316	3802	56177
317	3813	56153
318	3825	56133
319	3837	56121
320	3848	56102
321	3860	56091
322	3872	56077
323	3885	56074
324	3897	56057
325	3908	56035
326	3920	56030
327	3932	56015
328	3945	56011
329	3956	55986
330	3968	55974
331	3979	55952
332	3991	55933
333	4002	55918
334	4014	55905
335	4026	55894
336	4038	55883
337	4050	55874
338	4062	55854
339	4074	55838
340	4086	55826
341	4098	55821
342	4110	55807
343	4123	55805
344	4135	55798
345	4146	55777
346	4158	55764
347	4170	55748
348	4181	55722
349	4193	55716
350	4205	55708
351	4217	55691
352	4229	55675
353	4241	55666
354	4253	55659
355	4265	55640
356	4277	55629
357	4288	55611
358	4300	55597
359	4312	55582
360	4325	55579
361	4337	55574
362	4349	55558
363	4360	55539
364	4372	55525
365	4385	55521
366	4397	55509
367	4408	55492
368	4420	55478
369	4432	55468
370	4445	55464
371	4456	55442
372	4468	55424
373	4480	55419
374	4492	55406
375	4504	55399
376	4516	55386
377	4528	55369
378	4540	55356
379	4552	55349
380	4564	55342
381	4576	55331
382	4589	55324
383	4602	55324
384	4614	55317
385	4626	55307
386	4638	55288
387	4650	55277
388	4661	55256
389	4674	55255
390	4686	55243
391	4698	55228
392	4710	55216
393	4722	55208
394	4734	55191
395	4745	55176
396	4757	55158
397	4768	55138
398	4780	55128
399	4792	55115
400	4804	55107
401	4816	55090
402	4828	55074
403	4840	55066
404	4852	55052
405	4864	55047
406	4877	55041
407	4888	55023
408	4900	55012
409	4913	55007
410	4925	54995
411	4937	54987
412	4949	54977
413	4961	54957
414	4973	54947
415	4984	54927
416	4996	54909
417	5007	54892
418	5020	54890
419	5032	54874
420	5043	54860
421	5055	54846
422	5067	54837
423	5079	54822
424	5090	54801
425	5103	54796
426	5114	54779
427	5128	54780
428	5140	54772
429	5152	54759
430	5164	54747
431	5176	54739
432	5188	54728
433	5201	54719
434	5212	54702
435	5224	54690
436	5236	54676
437	5247	54659
438	5259	54639
439	5270	54624
440	5283	54622
441	5295	54612
442	5308	54606
443	5320	54599
444	5332	54581
445	5343	54565
446	5355	54549
447	5368	54546
448	5380	54531
449	5392	54521
450	5403	54506
451	5415	54489
452	5426	54472
453	5438	54459
454	5450	54444
455	5462	54431
456	5475	54428
457	5487	54421
458	5499	54404
459	5510	54387
460	5522	54374
461	5534	54359
462	5545	54343
463	5557	54326
464	5569	54315
465	5582	54312
466	5594	54306
467	5606	54289
468	5618	54284
469	5630	54270
470	5642	54259
471	5655	54255
472	5667	54238
473	5678	54222
474	5691	54215
475	5703	54203
476	5715	54195
477	5727	54185
478	5740	54181
479	5752	54166
480	5763	54151
481	5775	54140
482	5787	54123
483	5799	54111
484	5811	54099
485	5823	54088
486	5835	54077
487	5848	54071
488	5859	54052
489	5870	54034
490	5882	54021
491	5895	54016
492	5906	53998
493	5917	53979
494	5929	53964
495	5940	53946
496	5953	53937
497	5965	53925
498	5976	53909
499	5989	53903
500	6001	53889
501	6012	53870
502	6024	53857
503	6035	53843
504	6047	53829
505	6060	53824
506	6072	53814
507	6084	53806
508	6096	53792
509	6109	53785
510	6121	53776
511	6133	53767
512	6147	53770
513	6159	53757
514	6171	53743
515	6183	53734
516	6194	53716
517	6206	53704
518	6219	53700
519	6231	53688
520	6244	53681
521	6256	53672
522	6267	53654
523	6280	53645
524	6292	53634
525	6303	53617
526	6315	53605
527	6327	53593
528	6340	53587
529	6351	53572
530	6364	53561
531	6375	53547
532	6386	53527
533	6398	53515
534	6411	53507
535	6422	53492
536	6435	53482
537	6447	53473
538	6459	53461
539	6472	53454
540	6484	53443
541	6495	53426
542	6508	53418
543	6520	53413
544	6532	53399
545	6544	53388
546	6556	53376
547	6568	53360
548	6580	53354
549	6592	53342
550	6605	53334
551	6616	53319
552	6628	53303
553	6639	53286
554	6651	53268
555	6663	53256
556	6674	53240
557	6686	53225
558	6697	53210
559	6709	53196
560	6721	53183
561	6734	53179
562	6747	53174
563	6759	53166
564	6770	53148
565	6782	53134
566	6794	53122
567	6806	53106
568	6817	53093
569	6829	53081
570	6841	53068
571	6853	53058
572	6866	53048
573	6878	53039
574	6889	53020
575	6901	53007
576	6912	52990
577	6925	52982
578	6937	52971
579	6949	52958
580	6961	52947
581	6972	52929
582	6984	52916
583	6996	52902
584	7008	52890
585	7019	52876
586	7031	52861
587	7043	52851
588	7055	52838
589	7067	52825
590	7079	52814
591	7090	52798
592	7103	52789
593	7114	52774
594	7126	52756
595	7137	52743
596	7149	52731
597	7161	52719
598	7172	52700
599	7183	52681
600	7195	52667
601	7206	52647
602	7218	52638
603	7231	52630
604	7244	52624
605	7256	52614
606	7268	52600
607	7279	52585
608	7290	52567
609	7301	52550
610	7314	52544
611	7326	52529
612	7338	52518
613	7349	52499
614	7361	52491
615	7373	52478
616	7385	52465
617	7397	52452
618	7409	52442
619	7422	52437
620	7434	52424
621	7446	52411
622	7458	52399
623	7470	52388
624	7481	52373
625	7493	52355
626	7505	52345
627	7517	52334
628	7529	52323
629	7541	52314
630	7553	52301
631	7566	52297
632	7579	52292
633	7591	52278
634	7603	52267
635	7616	52261
636	7627	52245
637	7639	52232
638	7651	52218
639	7663	52205
640	7675	52193
641	7686	52180
642	7698	52164
643	7710	52152
644	7721	52138
645	7733	52125
646	7745	52111
647	7757	52098
648	7769	52088
649	7781	52073
650	7793	52063
651	7804	52049
652	7817	52038
653	7828	52024
654	7840	52010
655	7852	52001
656	7865	51991
657	7876	51977
658	7888	51964
659	7900	51954
660	7912	51938
661	7924	51925
662	7936	51917
663	7948	51905
664	7959	51888
665	7971	51876
666	7984	51867
667	7995	51852
668	8006	51834
669	8019	51825
670	8031	51812
671	8041	51793
672	8054	51785
673	8066	51772
674	8077	51756
675	8089	51746
676	8102	51736
677	8114	51725
678	8125	51709
679	8137	51699
680	8149	51687
681	8162	51680
682	8173	51661
683	8184	51645
684	8197	51636
685	8208	51622
686	8220	51605
687	8232	51596
688	8244	51583
689	8256	51573
690	8266	51552
691	8278	51534
692	8289	51517
693	8300	51500
694	8311	51483
695	8323	51469
696	8335	51458
697	8346	51445
698	8358	51433
699	8371	51424
700	8383	51413
701	8395	51401
702	8407	51388
703	8419	51376
704	8430	51362
705	8441	51344
706	8453	51327
707	8464	51311
708	8475	51297
709	8487	51282
710	8498	51267
711	8510	51251
712	8522	51239
713	8533	51227
714	8545	51214
715	8556	51197
716	8568	51184
717	8580	51173
718	8592	51160
719	8604	51147
720	8615	51130
721	8627	51119
722	8638	51104
723	8650	51092
724	8662	51078
725	8674	51066
726	8685	51051
727	8697	51039
728	8710	51033
729	8722	51020
730	8734	51011
731	8746	50996
732	8758	50988
733	8769	50970
734	8782	50960
735	8794	50947
736	8805	50935
737	8816	50917
738	8828	50905
739	8840	50892
740	8852	50879
741	8863	50864
742	8874	50849
743	8885	50831
744	8897	50817
745	8909	50808
746	8921	50794
747	8933	50782
748	8945	50769
749	8957	50756
750	8968	50744
751	8980	50730
752	8992	50716
753	9003	50702
754	9015	50689
755	9027	50675
756	9038	50663
757	9050	50651
758	9063	50642
759	9075	50629
760	9087	50620
761	9099	50609
762	9111	50598
763	9123	50582
764	9135	50573
765	9147	50559
766	9158	50546
767	9170	50534
768	9183	50524
769	9194	50510
770	9205	50494
771	9217	50481
772	9229	50468
773	9240	50450
774	9251	50438
775	9264	50428
776	9276	50416
777	9288	50404
778	9300	50396
779	9313	50387
780	9325	50374
781	9337	50365
782	9349	50351
783	9360	50338
784	9372	50323
785	9384	50310
786	9396	50299
787	9407	50285
788	9419	50272
789	9431	50264
790	9443	50249
791	9454	50235
792	9467	50224
793	9478	50210
794	9490	50197
795	9503	50191
796	9515	50179
797	9526	50165
798	9538	50151
799	9550	50139
800	9562	50127
801	9573	50113
802	9585	50097
803	9596	50085
804	9608	50071
805	9620	50060
806	9632	50046
807	9644	50037
808	9655	50020
809	9666	50003
810	9678	49989
811	9689	49974
812	9701	49963
813	9713	49953
814	9726	49943
815	9737	49927
816	9748	49911
817	9760	49899
818	9772	49890
819	9787	49893
820	9799	49880
821	9811	49867
822	9822	49854
823	9834	49841
824	9846	49829
825	9858	49816
826	9869	49802
827	9881	49787
828	9892	49773
829	9904	49759
830	9916	49748
831	9928	49736
832	9940	49723
833	9952	49715
834	9964	49701
835	9975	49687
836	9987	49673
837	9998	49659
838	10010	49646
839	10021	49632
840	10033	49619
841	10045	49606
842	10057	49594
843	10068	49580
844	10081	49570
845	10093	49560
846	10105	49548
847	10117	49535
848	10129	49526
849	10141	49512
850	10153	49501
851	10164	49486
852	10176	49475
853	10187	49457
854	10198	49443
855	10210	49432
856	10222	49417
857	10232	49399
858	10244	49387
859	10256	49373
860	10268	49360
861	10280	49349
862	10291	49334
863	10303	49321
864	10315	49310
865	10327	49298
866	10338	49281
867	10349	49267
868	10361	49254
869	10372	49240
870	10384	49226
871	10396	49215
872	10407	49199
873	10418	49185
874	10430	49171
875	10441	49156
876	10452	49141
877	10464	49128
878	10476	49119
879	10488	49106
880	10500	49091
881	10511	49077
882	10523	49065
