iter	Passed	Remaining
0	14	115875
1	28	113617
2	42	112014
3	55	110804
4	68	110304
5	82	109844
6	95	109302
7	109	108941
8	122	108656
9	135	108166
10	149	108316
11	162	108140
12	175	107989
13	189	107844
14	202	107729
15	216	107788
16	230	108239
17	244	108279
18	258	108424
19	271	108460
20	285	108390
21	298	108328
22	311	108207
23	325	108143
24	338	108094
25	351	107814
26	365	107995
27	379	107942
28	392	107974
29	406	107907
30	419	107853
31	433	107884
32	446	107875
33	460	107928
34	474	107937
35	487	107772
36	501	107845
37	514	107824
38	528	107856
39	542	107866
40	555	107864
41	569	107885
42	583	107922
43	596	107896
44	609	107831
45	623	107839
46	637	107812
47	650	107839
48	664	107813
49	678	107863
50	691	107827
51	705	107825
52	719	107849
53	733	107868
54	747	107925
55	760	107925
56	774	107862
57	787	107808
58	801	107829
59	815	107854
60	828	107868
61	842	107841
62	855	107835
63	869	107804
64	883	107804
65	896	107791
66	910	107799
67	924	107807
68	937	107785
69	950	107727
70	963	107646
71	976	107546
72	990	107559
73	1004	107547
74	1017	107540
75	1031	107558
76	1044	107515
77	1058	107512
78	1071	107442
79	1084	107379
80	1098	107356
81	1111	107345
82	1124	107299
83	1137	107239
84	1151	107202
85	1164	107181
86	1178	107185
87	1191	107167
88	1205	107128
89	1218	107077
90	1231	107031
91	1244	107012
92	1258	106969
93	1271	106938
94	1285	106941
95	1298	106892
96	1311	106854
97	1325	106885
98	1339	106872
99	1352	106862
100	1365	106755
101	1378	106740
102	1391	106708
103	1405	106685
104	1418	106664
105	1432	106668
106	1444	106585
107	1458	106577
108	1472	106588
109	1485	106531
110	1498	106524
111	1511	106465
112	1524	106399
113	1537	106360
114	1550	106331
115	1564	106310
116	1577	106259
117	1590	106213
118	1603	106205
119	1616	106118
120	1629	106094
121	1642	106072
122	1655	106003
123	1668	105946
124	1681	105930
125	1694	105890
126	1707	105840
127	1720	105825
128	1734	105823
129	1747	105785
130	1760	105741
131	1774	105741
132	1787	105742
133	1800	105699
134	1814	105683
135	1826	105630
136	1839	105588
137	1852	105561
138	1866	105546
139	1879	105532
140	1892	105466
141	1905	105418
142	1918	105418
143	1931	105384
144	1944	105315
145	1956	105269
146	1969	105202
147	1982	105167
148	1994	105100
149	2007	105057
150	2020	105040
151	2033	104980
152	2046	104951
153	2058	104886
154	2071	104854
155	2085	104843
156	2097	104789
157	2111	104775
158	2123	104743
159	2137	104724
160	2149	104659
161	2162	104618
162	2174	104556
163	2187	104521
164	2199	104460
165	2212	104403
166	2225	104390
167	2238	104366
168	2251	104335
169	2263	104275
170	2276	104241
171	2289	104210
172	2302	104151
173	2315	104129
174	2328	104115
175	2341	104077
176	2353	104038
177	2366	104006
178	2379	103967
179	2392	103922
180	2404	103863
181	2416	103807
182	2429	103770
183	2442	103732
184	2454	103677
185	2467	103656
186	2480	103620
187	2493	103603
188	2506	103577
