iter	MultiClass
0	2.181024935
1	2.165214572
2	2.147157082
3	2.128926898
4	2.111811479
5	2.098598321
6	2.080899592
7	2.064900345
8	2.051087687
9	2.034285978
10	2.020000995
11	2.00594713
12	1.990387828
13	1.976490466
14	1.961194546
15	1.949071046
16	1.936396968
17	1.925233957
18	1.913136854
19	1.901432299
20	1.889842483
21	1.877659971
22	1.865786008
23	1.854502042
24	1.844987949
25	1.832035239
26	1.820815915
27	1.810800284
28	1.800685518
29	1.791306341
30	1.782010344
31	1.772844336
32	1.76281486
33	1.753311912
34	1.743446684
35	1.732626714
36	1.723666835
37	1.714442285
38	1.70673021
39	1.697076038
40	1.687196379
41	1.679254124
42	1.670859605
43	1.662801556
44	1.654953157
45	1.647484636
46	1.639144318
47	1.631792295
48	1.62345491
49	1.617078863
50	1.609698917
51	1.601008286
52	1.594628719
53	1.587325383
54	1.58028707
55	1.573600597
56	1.565647901
57	1.558875667
58	1.552100149
59	1.545346921
60	1.537937529
61	1.530778026
62	1.524478001
63	1.517624231
64	1.511199262
65	1.504352531
66	1.498264267
67	1.492323707
68	1.486610864
69	1.480332425
70	1.473693818
71	1.46654769
72	1.460654761
73	1.454737666
74	1.449537505
75	1.444093205
76	1.438422127
77	1.433346559
78	1.427080088
79	1.421331344
80	1.415615568
81	1.409707036
82	1.404411026
83	1.399027614
84	1.393380352
85	1.38818946
86	1.38329339
87	1.377864224
88	1.372764019
89	1.367590373
90	1.362599627
91	1.357892793
92	1.352686532
93	1.348152274
94	1.343443094
95	1.338875165
96	1.334351114
97	1.329257597
98	1.324287968
99	1.3201506
100	1.314809188
101	1.309945498
102	1.305549207
103	1.300731741
104	1.296091662
105	1.292133557
106	1.287320901
107	1.283193974
108	1.279138494
109	1.274788427
110	1.270654461
111	1.265820923
112	1.261131921
113	1.256649752
114	1.252525172
115	1.248469223
116	1.24456356
117	1.240127615
118	1.236464802
119	1.231968086
120	1.228138093
121	1.224281117
122	1.220057402
123	1.216009196
124	1.212422992
125	1.208643094
126	1.204625861
127	1.200972785
128	1.197802242
129	1.194152685
130	1.190626901
131	1.187492844
132	1.184179289
133	1.180685649
134	1.177173473
135	1.173343598
136	1.170029808
137	1.166858327
138	1.163394721
139	1.16010768
140	1.156476191
141	1.15315196
142	1.149747014
143	1.146588085
144	1.143107585
145	1.139726103
146	1.136467336
147	1.133466318
148	1.13019183
149	1.126974946
150	1.12429374
151	1.121334136
152	1.118541243
153	1.115352632
154	1.112491459
155	1.110070466
156	1.10716436
157	1.104103158
158	1.101367516
159	1.098612986
