iter	Passed	Remaining
0	90	452353
1	117	292918
2	131	219450
3	144	180999
4	158	158408
5	170	141639
6	183	130700
7	195	122137
8	208	115461
9	220	109856
10	230	104750
11	243	101295
12	255	97998
13	266	94859
14	277	92243
15	288	89855
16	295	86734
17	307	85141
18	319	83885
19	331	82520
20	342	81277
21	354	80228
22	362	78528
23	374	77639
24	385	76752
25	396	75827
26	407	75004
27	418	74266
28	429	73661
29	440	73024
30	451	72443
31	463	71895
32	475	71530
33	485	70889
34	496	70375
35	507	69946
36	518	69510
37	529	69125
38	540	68716
39	550	68265
40	560	67815
41	569	67194
42	580	66972
43	592	66709
44	603	66430
45	613	66102
46	624	65820
47	632	65235
48	643	65030
49	654	64815
50	665	64567
51	676	64345
52	686	64118
53	697	63894
54	705	63445
55	716	63288
56	724	62848
57	735	62703
58	746	62507
59	757	62358
60	768	62211
61	779	62069
62	790	61929
63	801	61787
64	812	61714
65	823	61547
66	834	61469
67	845	61329
68	853	61010
69	864	60871
70	874	60743
71	882	60402
72	898	60670
73	910	60592
74	920	60465
75	931	60356
76	942	60244
77	953	60153
78	964	60078
79	975	59977
80	985	59832
81	995	59735
82	1007	59660
83	1017	59569
84	1028	59452
85	1038	59365
86	1049	59291
87	1060	59217
88	1072	59154
89	1083	59107
90	1094	59034
91	1106	59013
92	1116	58916
93	1134	59186
94	1145	59138
95	1156	59067
96	1170	59162
97	1181	59113
98	1192	59052
99	1204	58999
100	1211	58754
101	1221	58676
102	1233	58626
103	1240	58418
104	1252	58394
105	1260	58187
106	1271	58162
107	1282	58106
108	1294	58091
109	1305	58040
110	1313	57860
111	1324	57822
112	1336	57792
113	1346	57724
114	1358	57718
115	1369	57664
116	1379	57589
117	1389	57502
118	1402	57505
119	1412	57460
120	1420	57291
121	1432	57277
122	1443	57230
123	1454	57181
124	1465	57165
125	1476	57121
126	1484	56979
127	1496	56960
128	1507	56922
129	1518	56868
130	1529	56853
131	1540	56797
132	1550	56742
133	1562	56752
134	1572	56678
135	1583	56626
136	1592	56544
137	1600	56381
138	1611	56349
139	1622	56308
140	1632	56273
141	1644	56250
142	1654	56208
143	1665	56180
144	1677	56151
145	1689	56154
146	1700	56144
147	1712	56151
148	1724	56151
149	1748	56522
150	1756	56415
151	1779	56765
152	1800	57030
153	1811	56990
154	1818	56855
155	1830	56832
156	1837	56695
157	1849	56663
158	1860	56660
159	1871	56616
160	1882	56588
161	1893	56533
162	1903	56481
163	1915	56475
164	1926	56454
165	1937	56418
166	1948	56398
167	1956	56278
168	1968	56258
169	1978	56211
170	1988	56166
171	2000	56142
172	2011	56111
173	2021	56072
174	2032	56046
175	2043	56015
176	2054	55991
177	2062	55871
178	2073	55849
179	2081	55736
180	2092	55717
181	2103	55683
182	2111	55588
183	2122	55566
184	2134	55553
185	2145	55517
186	2152	55405
187	2163	55378
188	2175	55376
189	2186	55351
190	2197	55340
191	2209	55325
192	2220	55301
193	2231	55279
194	2242	55266
195	2253	55225
196	2264	55209
197	2275	55178
198	2285	55149
199	2294	55071
200	2306	55073
201	2317	55041
202	2328	55028
203	2339	55001
204	2351	54996
205	2362	54986
206	2374	54977
207	2384	54943
208	2395	54920
209	2407	54904
210	2417	54875
211	2429	54866
212	2441	54866
213	2453	54869
214	2466	54884
215	2477	54866
216	2488	54860
217	2500	54843
218	2512	54841
219	2524	54858
220	2533	54788
221	2547	54826
222	2559	54827
223	2571	54830
224	2583	54829
225	2597	54864
226	2608	54853
227	2623	54916
228	2635	54901
229	2645	54874
230	2658	54881
231	2669	54865
232	2681	54863
233	2693	54866
234	2706	54875
235	2720	54926
236	2732	54920
237	2746	54950
238	2768	55144
239	2780	55155
240	2793	55166
241	2807	55196
242	2820	55207
243	2833	55230
244	2846	55254
245	2864	55355
246	2878	55381
247	2890	55391
248	2902	55383
249	2914	55375
250	2926	55369
251	2938	55363
252	2950	55356
253	2961	55337
254	2973	55330
255	2985	55334
256	2998	55334
257	3007	55283
258	3019	55273
259	3031	55272
260	3044	55276
261	3056	55270
262	3067	55253
263	3078	55225
264	3090	55224
265	3101	55201
266	3113	55185
267	3124	55169
268	3135	55150
269	3148	55152
270	3159	55128
271	3170	55118
272	3183	55114
273	3193	55089
274	3205	55073
275	3217	55077
276	3229	55068
277	3242	55067
278	3249	54990
279	3257	54917
280	3270	54916
281	3281	54901
282	3293	54892
283	3306	54911
284	3319	54918
285	3331	54915
