iter	MultiClass
0	1.990265801
1	1.768145035
2	1.640259268
3	1.509320409
4	1.413092459
5	1.349940486
6	1.28617465
7	1.233240116
8	1.173980546
9	1.133468094
10	1.091470959
11	1.057484874
12	1.026417527
13	1.000406327
14	0.9757008662
15	0.9540306801
16	0.9264430653
17	0.9058364908
18	0.8893456063
19	0.8644797149
20	0.8458587921
21	0.8291404027
22	0.8146711702
23	0.7976881066
24	0.78330484
25	0.7694314618
26	0.757866547
27	0.7437425723
28	0.7325534437
29	0.7239132943
30	0.713584795
31	0.7035178919
32	0.6954128886
33	0.6851807666
34	0.6764643517
35	0.6673560853
36	0.6600705598
37	0.6538168133
38	0.6475248202
39	0.6398809152
40	0.6333288832
41	0.6258939043
42	0.6174002378
43	0.6089791177
44	0.6018285166
45	0.5954601424
46	0.5887035441
47	0.5851884224
48	0.5785981774
49	0.5745893651
50	0.5688699736
51	0.5636018177
52	0.5577482231
53	0.5531638003
54	0.5469087665
55	0.5425304489
56	0.5366934153
57	0.5313280554
58	0.5272101961
59	0.5224142799
60	0.518311382
61	0.5131182357
62	0.5090185371
63	0.5044297672
64	0.4975309143
65	0.4932857059
66	0.4910157551
67	0.4870527904
68	0.4817885299
69	0.4770670294
70	0.4742246277
71	0.4706868858
72	0.4667184936
73	0.4633250313
74	0.4592846102
75	0.4541078827
76	0.4504348371
77	0.4473399131
78	0.4437132406
79	0.4398806857
80	0.4364458143
81	0.4319655163
82	0.4276142865
83	0.4234580288
84	0.4205710968
85	0.4162221337
86	0.4129805336
87	0.4113373399
88	0.408088309
89	0.4048412158
90	0.4015744665
91	0.3967341193
92	0.3944986066
93	0.3913023899
94	0.3881328254
95	0.3862888726
96	0.3833570975
97	0.3798337424
98	0.3772193783
99	0.3755466577
100	0.3728790724
101	0.3696848223
102	0.3665098773
103	0.3639467429
104	0.3615421955
105	0.3589542222
106	0.3563501733
107	0.3543621288
108	0.3522195653
109	0.3483715479
110	0.3453794804
111	0.3430514206
112	0.3412862883
113	0.3382341232
114	0.3358407507
115	0.333716057
116	0.3319355315
117	0.3308030813
118	0.3281442875
119	0.3251651009
120	0.3235100499
121	0.3222442581
122	0.3209923901
123	0.3187186249
124	0.3158995281
125	0.3142506153
126	0.3118005056
127	0.3104840934
128	0.3094581183
129	0.3069335928
130	0.3052141408
131	0.3048303645
132	0.303208926
133	0.3017058297
134	0.3001619362
135	0.2982833364
136	0.2966771705
137	0.295057353
138	0.2929031966
139	0.2910081441
140	0.2903798633
141	0.2893936181
142	0.2871340778
143	0.2854376499
144	0.2833100686
145	0.2823384925
146	0.2808991986
147	0.2795752761
148	0.2776306066
149	0.2764248531
150	0.2749735461
151	0.2744904481
152	0.2728382219
153	0.2719162411
154	0.2708356691
155	0.2689118014
156	0.2677649253
157	0.2661227489
158	0.2648186664
159	0.2633075307
160	0.2621706292
161	0.2601220263
162	0.258978657
163	0.2576785505
164	0.2564515722
165	0.255549496
166	0.2538485809
167	0.2531721451
168	0.2509904802
169	0.2494833218
170	0.2488375751
171	0.247007795
172	0.2452607109
173	0.2448989912
174	0.2439243455
175	0.2419661085
176	0.2407743254
177	0.2392359955
178	0.2380916169
179	0.2365161886
180	0.2353557245
181	0.2342546691
182	0.2335854012
183	0.2329880004
184	0.2318025622
185	0.2308594171
186	0.2300886331
187	0.2293078328
188	0.228725599
189	0.2271249275
190	0.2254747512
191	0.2248821871
192	0.2240686904
193	0.2226463285
194	0.2215669122
195	0.2201542322
196	0.2194577793
197	0.2187982858
198	0.2182970406
199	0.2172401072
200	0.2161732412
201	0.2153277305
202	0.2144459019
203	0.2128779033
204	0.2120926232
205	0.21023809
206	0.2089473361
207	0.2076535521
208	0.2070033359
209	0.2065719808
210	0.2054307841
211	0.2049116004
212	0.2040575207
213	0.2034543289
214	0.2020668496
215	0.2013174447
216	0.2002484411
217	0.1995997162
218	0.198025379
219	0.1975280411
220	0.1968106038
221	0.1956794697
222	0.1942317981
223	0.1935994982
224	0.1927503542
225	0.1919976656
226	0.1913234299
227	0.190043825
228	0.1893987887
229	0.1884810613
230	0.1872150524
231	0.186124832
232	0.1857441594
233	0.1850607964
234	0.1845347135
235	0.184058403
236	0.1838127879
237	0.1832556787
238	0.1826219818
239	0.1817933543
240	0.181323965
241	0.1809758319
242	0.1805904113
243	0.1797424634
244	0.1796093151
245	0.1787210696
246	0.1781506456
247	0.1774136846
248	0.1765097669
249	0.1760564422
250	0.1752534271
251	0.1748574269
252	0.1745997654
253	0.1733537656
254	0.1725481283
255	0.1718008603
256	0.1711798283
257	0.1707221706
258	0.1703038879
259	0.1697156322
260	0.1695578839
261	0.1689959771
262	0.1682948718
263	0.167808195
264	0.1671396329
265	0.1665582351
266	0.1657771405
267	0.1647832121
268	0.1645898679
269	0.1635768117
270	0.1633642993
271	0.1628379257
272	0.1626057845
273	0.1616001094
274	0.1610200303
275	0.1603609669
276	0.1597835871
277	0.1587787548
278	0.158153932
279	0.1574009993
280	0.1568554662
281	0.1561629572
282	0.1556759336
283	0.1549516711
284	0.1544348386
285	0.1538664011
286	0.1536568924
287	0.1529171265
288	0.1523642968
289	0.1517453198
290	0.1510220505
291	0.1502814554
292	0.1495951037
293	0.1489506956
294	0.1482304499
295	0.1478218093
296	0.1469518458
297	0.1462358526
298	0.1456101384
299	0.1447847001
300	0.1440696524
301	0.1436020954
302	0.1431875074
303	0.1428729264
304	0.1425017116
305	0.1419931625
306	0.1413851489
307	0.1407208944
