iter	Passed	Remaining
0	32	38627
1	65	39376
2	100	39935
3	133	39889
4	164	39331
5	199	39775
6	233	39712
7	262	39156
8	294	38949
9	322	38339
10	351	37970
11	380	37654
12	410	37522
13	444	37694
14	478	37787
15	510	37774
16	538	37494
17	567	37284
18	595	37032
19	624	36817
20	652	36624
21	682	36540
22	713	36521
23	742	36358
24	771	36268
25	799	36120
26	827	35961
27	860	36002
28	889	35935
29	922	35975
30	953	35968
31	983	35907
32	1016	35939
33	1048	35943
34	1079	35933
35	1110	35918
36	1141	35873
37	1172	35859
38	1202	35803
39	1231	35713
40	1265	35781
41	1297	35784
42	1330	35797
43	1362	35792
44	1391	35702
45	1419	35619
46	1449	35550
47	1477	35451
48	1505	35374
49	1534	35298
50	1564	35237
51	1592	35147
52	1621	35091
53	1649	35015
54	1678	34933
55	1705	34850
56	1741	34921
57	1776	34978
58	1813	35069
59	1852	35194
60	1893	35361
61	1927	35379
62	1961	35392
63	1992	35364
64	2026	35380
65	2061	35413
66	2092	35377
67	2122	35340
68	2153	35290
69	2184	35260
70	2213	35195
71	2243	35150
72	2273	35101
73	2302	35042
74	2331	34976
75	2360	34907
76	2389	34852
77	2418	34795
78	2448	34750
79	2479	34714
80	2507	34643
81	2536	34586
82	2565	34521
83	2593	34459
84	2621	34389
85	2649	34320
86	2677	34256
87	2706	34203
88	2735	34151
89	2763	34084
90	2790	34001
91	2817	33927
92	2844	33859
93	2871	33791
94	2899	33727
95	2927	33660
96	2954	33592
97	2982	33535
98	3011	33486
99	3038	33424
100	3066	33363
101	3093	33300
102	3124	33281
103	3155	33250
104	3181	33183
105	3209	33120
106	3237	33071
107	3264	33011
108	3292	32959
109	3320	32903
110	3350	32866
111	3379	32827
112	3408	32788
113	3435	32730
114	3464	32687
115	3492	32638
116	3520	32590
117	3550	32556
118	3579	32515
119	3607	32465
120	3635	32415
121	3661	32353
122	3687	32288
123	3715	32239
124	3741	32179
125	3769	32131
126	3798	32091
127	3825	32039
128	3853	31992
129	3880	31943
130	3908	31898
131	3936	31847
132	3963	31797
133	3990	31748
134	4018	31704
135	4047	31665
136	4076	31628
137	4104	31590
138	4133	31552
139	4161	31506
140	4189	31466
141	4219	31437
142	4250	31414
143	4278	31378
144	4308	31349
145	4338	31320
146	4367	31284
147	4396	31252
148	4425	31214
149	4454	31183
150	4484	31153
151	4514	31126
152	4542	31087
153	4570	31045
154	4601	31019
155	4629	30985
156	4659	30955
157	4687	30915
158	4716	30881
159	4744	30838
160	4772	30795
161	4798	30745
162	4825	30699
163	4854	30663
164	4883	30635
165	4910	30588
166	4938	30546
167	4964	30497
168	4992	30454
169	5018	30407
170	5046	30366
171	5073	30322
172	5100	30275
173	5127	30233
174	5153	30187
175	5180	30142
176	5209	30107
177	5236	30067
178	5264	30028
179	5292	29990
180	5319	29949
181	5346	29907
182	5375	29874
183	5404	29844
184	5431	29801
185	5460	29768
186	5488	29730
187	5516	29692
188	5543	29654
189	5572	29620
190	5600	29586
191	5629	29555
192	5657	29520
193	5685	29480
194	5714	29451
195	5742	29413
196	5769	29373
197	5795	29328
198	5824	29297
199	5852	29261
200	5880	29224
201	5906	29183
202	5934	29144
203	5961	29105
204	5988	29068
205	6015	29027
206	6043	28989
207	6071	28954
208	6099	28920
209	6126	28883
210	6154	28847
211	6181	28808
212	6209	28772
213	6237	28738
214	6265	28704
215	6292	28665
216	6319	28628
217	6346	28586
218	6374	28554
219	6401	28514
220	6426	28470
221	6453	28430
222	6481	28396
223	6509	28364
224	6537	28327
225	6564	28290
226	6592	28258
227	6619	28220
228	6647	28185
229	6675	28151
230	6703	28118
231	6730	28081
232	6757	28044
233	6783	28004
234	6811	27969
235	6838	27935
236	6872	27926
237	6906	27916
238	6937	27895
239	6967	27870
240	6996	27840
241	7026	27816
242	7055	27785
243	7088	27771
244	7116	27741
245	7145	27709
246	7199	27778
247	7245	27812
248	7314	27937
249	7362	27977
250	7399	27977
251	7430	27954
252	7461	27929
253	7488	27891
254	7517	27858
255	7544	27822
256	7572	27786
257	7600	27749
258	7627	27713
259	7660	27694
260	7690	27667
261	7718	27633
262	7746	27597
263	7773	27561
264	7800	27523
265	7828	27488
266	7855	27450
267	7882	27413
268	7909	27375
269	7937	27341
270	7963	27300
271	7991	27264
272	8018	27227
273	8045	27190
274	8074	27158
275	8102	27124
276	8132	27098
277	8158	27059
278	8186	27023
279	8213	26986
280	8240	26951
281	8267	26914
282	8295	26880
283	8324	26848
284	8351	26812
285	8378	26774
286	8406	26743
287	8434	26707
288	8461	26671
289	8487	26633
290	8514	26597
291	8542	26562
292	8569	26528
293	8598	26496
294	8625	26461
295	8653	26429
296	8681	26395
297	8710	26364
298	8737	26329
299	8765	26295
300	8793	26262
301	8820	26227
302	8846	26190
303	8874	26155
304	8901	26120
305	8929	26087
306	8956	26052
307	8984	26019
308	9011	25983
309	9038	25949
310	9064	25912
311	9092	25878
312	9121	25848
313	9150	25819
314	9177	25785
315	9205	25751
316	9234	25723
317	9265	25699
318	9296	25674
319	9327	25649
320	9357	25623
321	9389	25602
322	9419	25575
323	9448	25547
324	9481	25526
325	9510	25498
326	9540	25471
327	9571	25447
328	9601	25420
329	9631	25392
330	9663	25369
331	9692	25341
332	9724	25318
