iter	MultiClass
0	2.161209571
1	2.119775566
2	2.079090476
3	2.038574258
4	2.010791894
5	1.97107262
6	1.931170206
7	1.901860163
8	1.873060861
9	1.84623607
10	1.815257787
11	1.783200043
12	1.751687138
13	1.723321608
14	1.702776805
15	1.682077369
16	1.660808508
17	1.637788519
18	1.614609038
19	1.594368172
20	1.573187655
21	1.554959313
22	1.537934565
23	1.525385312
24	1.509527968
25	1.492956264
26	1.478502954
27	1.46286533
28	1.44642251
29	1.432012469
30	1.419127431
31	1.409574204
32	1.400796771
33	1.389568288
34	1.379832666
35	1.369587126
36	1.358873085
37	1.347567638
38	1.33612837
39	1.323545485
40	1.314677627
41	1.303759892
42	1.292610545
43	1.283273121
44	1.276758495
45	1.269731548
46	1.264038945
47	1.255830118
48	1.247875058
49	1.240542121
50	1.230708991
51	1.224427459
52	1.218397797
53	1.212630651
54	1.206171528
55	1.199582542
56	1.194323979
57	1.188607342
58	1.181582212
59	1.176051115
60	1.170319345
61	1.165284683
62	1.15947396
63	1.154344659
64	1.148585333
65	1.143208659
66	1.138324269
67	1.132739906
68	1.126768621
69	1.121263589
70	1.1143086
71	1.108605
72	1.103426803
73	1.097732009
74	1.09179784
75	1.08648026
76	1.080857247
77	1.076240585
78	1.071731604
79	1.067075091
80	1.062994087
81	1.059141589
82	1.054085943
83	1.049489757
84	1.044878285
85	1.041740744
86	1.038641207
87	1.035013887
88	1.029684572
89	1.025898091
90	1.022661909
91	1.019291244
92	1.015661237
93	1.012354761
94	1.009882335
95	1.007208497
96	1.003922724
97	1.000342266
98	0.9958266174
99	0.9920146876
100	0.9886532127
101	0.9848593367
102	0.9822175277
103	0.9793017346
104	0.9769619847
105	0.9739051011
106	0.9706601354
107	0.967446033
108	0.9642684872
109	0.9619893475
110	0.9589053655
111	0.9560781837
112	0.9531680128
113	0.9501250324
114	0.9467906039
115	0.9440320884
116	0.9414246188
117	0.937305934
118	0.9350676186
119	0.9328151494
120	0.9304561038
121	0.9270724012
122	0.9238185827
123	0.9207510317
124	0.9181999383
125	0.9148815769
126	0.9129386618
127	0.9103872722
128	0.9082396016
129	0.9063990943
130	0.9042679114
131	0.9018326295
132	0.899834471
133	0.8975540564
134	0.8951214559
135	0.8926691253
136	0.8902484245
137	0.8879087257
138	0.8865133619
139	0.8845252076
140	0.8826192788
141	0.8806089272
142	0.878540763
143	0.8757112924
144	0.8738298067
145	0.8717948253
146	0.8705911566
147	0.8687977122
148	0.8669456805
149	0.8648327062
150	0.863147149
151	0.860880665
152	0.8587342805
153	0.8568035316
154	0.8552037518
155	0.8529403351
156	0.8509740357
157	0.849322967
158	0.8479634902
159	0.8462918737
160	0.8448213464
161	0.8434989979
162	0.8419931151
163	0.8402813881
164	0.8390002395
165	0.83725593
166	0.8352509198
167	0.833470907
168	0.8318637293
169	0.8300588062
170	0.8284480945
171	0.8272603997
172	0.8259053072
173	0.8247558688
174	0.82298976
175	0.8214609364
176	0.820072145
177	0.8179024576
178	0.81666567
179	0.8156556329
180	0.814281771
181	0.8127875206
182	0.8112331794
183	0.8096036075
184	0.8077133717
185	0.8059022303
186	0.8046743422
187	0.8027865091
188	0.8017007344
189	0.8007077531
190	0.7984024827
191	0.7964927818
192	0.7953976476
193	0.7942121521
194	0.7929733833
195	0.7912123999
196	0.7898570499
197	0.7886255531
198	0.7870693609
199	0.7860062605
200	0.7844873778
201	0.782874042
202	0.7809432638
203	0.7793154722
204	0.777930002
205	0.7764956306
206	0.77459425
207	0.7729043722
208	0.7719938723
209	0.7710270144
210	0.7699742697
211	0.7687122754
212	0.7672927813
213	0.7655391071
214	0.7647139362
215	0.7633515542
216	0.7623358384
217	0.7608512742
218	0.7599928697
219	0.7588095979
220	0.7575508876
221	0.7564569368
222	0.7545017819
223	0.753629586
224	0.7522942318
225	0.7511584056
226	0.7499410022
227	0.7487812875
228	0.7477885645
229	0.7469633921
230	0.7455912427
231	0.7446613011
232	0.7436727857
233	0.7427398757
234	0.7417984356
235	0.7410917491
236	0.7404260631
237	0.7398112902
238	0.7391129714
239	0.7380941607
240	0.7366028033
241	0.7357337907
242	0.7347954253
243	0.7339986318
244	0.7332258999
245	0.7320056061
246	0.7309056867
247	0.7300197337
248	0.7287366406
249	0.7275480754
250	0.7261324467
251	0.7253769113
252	0.7245537938
253	0.723201431
254	0.7219760527
255	0.7207020383
256	0.7194145208
257	0.7178979799
258	0.7166905614
259	0.7161862905
260	0.7150522321
261	0.71403257
262	0.7132956908
263	0.7123817927
264	0.7113669677
265	0.7107793314
266	0.7095062783
267	0.7081401008
268	0.7074358861
269	0.7063362733
270	0.7053688784
271	0.7037323081
272	0.7028147068
273	0.7021682101
274	0.7011305896
275	0.7000261266
276	0.6988206408
277	0.6979216578
278	0.6964063242
279	0.6952286554
280	0.6942279605
281	0.6934007443
282	0.6927446713
283	0.6915948973
284	0.6908671746
285	0.6900235955
286	0.6892424278
287	0.6876614764
288	0.6859836163
289	0.685128305
290	0.6840512234
291	0.6829770744
292	0.6821212622
293	0.6805953072
294	0.6795888827
295	0.6784612406
296	0.6773713888
297	0.6760583913
298	0.6751489244
299	0.674574709
