iter	Passed	Remaining
0	16	5055
1	33	5029
2	51	5059
3	67	4997
4	84	4964
5	100	4931
6	119	5009
7	135	4954
8	152	4928
9	169	4905
10	185	4883
11	204	4897
12	221	4899
13	239	4902
14	257	4896
15	274	4874
16	292	4863
17	308	4840
18	312	4617
19	329	4617
20	333	4427
21	350	4434
22	368	4438
23	386	4440
24	403	4442
25	420	4434
26	436	4417
27	453	4406
28	470	4393
29	486	4381
30	503	4367
31	519	4354
32	537	4345
33	555	4347
34	572	4335
35	589	4321
36	605	4305
37	610	4207
38	628	4209
39	646	4202
40	663	4190
41	673	4134
42	688	4117
43	706	4110
44	724	4106
45	741	4092
46	758	4080
47	775	4070
48	792	4057
49	809	4048
50	827	4039
51	844	4028
52	863	4022
53	869	3959
54	886	3948
55	904	3940
56	921	3926
57	937	3911
58	954	3899
59	957	3830
60	974	3818
61	992	3808
62	1008	3793
63	1025	3781
64	1042	3768
65	1059	3756
66	1076	3744
67	1094	3733
68	1110	3717
69	1127	3704
70	1143	3687
71	1160	3674
72	1177	3660
73	1203	3674
74	1221	3664
75	1238	3649
76	1256	3638
77	1273	3624
78	1290	3610
79	1308	3598
80	1325	3584
81	1343	3572
82	1361	3560
83	1378	3545
84	1396	3531
85	1413	3516
86	1430	3502
87	1448	3488
88	1464	3472
89	1481	3456
90	1498	3440
91	1515	3425
92	1532	3410
93	1549	3395
94	1566	3380
95	1584	3366
96	1602	3353
97	1619	3337
98	1637	3324
99	1654	3309
100	1672	3294
101	1689	3279
102	1706	3262
103	1723	3247
104	1750	3250
105	1768	3236
106	1786	3222
107	1803	3206
108	1820	3190
109	1837	3173
110	1853	3156
111	1870	3139
112	1888	3124
113	1905	3108
114	1922	3092
115	1940	3077
116	1957	3061
117	1974	3045
118	1991	3028
119	2007	3011
120	2025	2996
121	2042	2979
122	2067	2975
123	2085	2960
124	2105	2947
125	2123	2932
126	2140	2915
127	2157	2899
128	2175	2883
129	2191	2866
130	2207	2848
131	2224	2830
132	2240	2813
133	2257	2796
134	2274	2780
135	2291	2762
136	2308	2746
137	2326	2730
138	2343	2714
139	2361	2698
140	2371	2673
141	2387	2656
142	2413	2649
143	2431	2633
144	2448	2617
145	2467	2602
146	2483	2584
147	2499	2567
148	2516	2549
149	2532	2532
150	2548	2514
151	2565	2497
152	2583	2481
153	2598	2463
154	2615	2447
155	2633	2430
156	2650	2414
157	2667	2397
158	2684	2380
159	2701	2363
160	2718	2347
161	2735	2330
162	2746	2308
163	2762	2290
164	2778	2273
165	2795	2256
166	2812	2239
167	2830	2223
168	2847	2206
169	2864	2190
170	2881	2173
171	2898	2157
172	2915	2140
173	2933	2124
174	2959	2114
175	2977	2097
176	2994	2080
177	3011	2063
178	3028	2047
179	3045	2030
180	3061	2013
181	3078	1995
182	3095	1979
183	3112	1962
184	3129	1945
185	3146	1928
186	3163	1911
187	3180	1894
188	3197	1877
189	3213	1860
190	3231	1844
191	3249	1827
192	3266	1810
193	3283	1794
194	3299	1776
195	3317	1760
196	3334	1743
197	3350	1726
198	3367	1709
199	3383	1691
200	3401	1675
201	3418	1658
202	3435	1641
203	3452	1624
204	3478	1612
205	3495	1595
206	3512	1578
207	3529	1561
208	3547	1544
209	3564	1527
210	3580	1510
211	3597	1493
212	3615	1476
213	3632	1459
214	3649	1442
215	3667	1426
216	3684	1409
217	3701	1392
218	3718	1375
219	3745	1361
220	3763	1345
221	3780	1328
222	3797	1311
223	3814	1294
224	3831	1277
225	3848	1260
226	3865	1243
227	3882	1226
228	3900	1209
229	3917	1192
230	3935	1175
231	3952	1158
232	3969	1141
233	3986	1124
234	4004	1107
235	4020	1090
236	4037	1073
237	4064	1058
238	4082	1041
239	4099	1024
240	4117	1007
241	4134	990
242	4151	973
243	4167	956
244	4184	939
245	4201	922
246	4218	905
247	4234	887
248	4251	870
249	4269	853
250	4286	836
251	4303	819
252	4320	802
253	4338	785
254	4355	768
255	4381	753
256	4399	736
257	4415	718
258	4432	701
259	4450	684
260	4467	667
261	4483	650
262	4501	633
263	4517	616
264	4534	598
265	4551	581
266	4568	564
267	4586	547
268	4603	530
269	4620	513
270	4648	497
271	4666	480
272	4684	463
273	4702	446
274	4719	429
275	4738	412
276	4757	394
277	4773	377
278	4789	360
279	4806	343
280	4823	326
281	4839	308
282	4856	291
283	4872	274
284	4889	257
285	4914	240
286	4932	223
287	4948	206
288	4965	188
289	4982	171
290	5000	154
291	5016	137
292	5032	120
293	5050	103
294	5067	85
295	5084	68
296	5100	51
297	5119	34
298	5136	17
299	5153	0
