feature,fold_1,fold_2,fold_3,fold_4,fold_5,mean_imp,std_imp,pos_ratio
ix_day_cos,0.021077617556937156,0.021124871781483923,0.028171491651422076,0.021614043973945396,0.02800934389041454,0.023999473770840617,0.0037408437290134995,1.0
day_of_year,0.02093144822059101,0.026858038877558887,0.023221463308704227,0.020882027760693145,0.02674226235865007,0.023727048105239467,0.0029605639527265897,1.0
airspeed,0.019955288491545153,0.019373816074815364,0.013807958671863574,0.014894348500426036,0.015363491768781268,0.01667898070148628,0.002790811761130422,1.0
hd_mean_cos_heading,0.014323095386251983,0.012970536892654705,0.011841780140862346,0.008677089091513546,0.010393075232094762,0.011641115348675467,0.0021990737088669037,1.0
radar_bird_size,0.010560943318074223,0.011308093350889115,0.011665935956989837,0.009987717014189212,0.009870093479011466,0.01067855662383077,0.0007930856433476744,1.0
ix_day_sin,0.007532113165158005,0.009602097496581252,0.01265367900200387,0.011109791436892835,0.009689836262498641,0.01011750347262692,0.0019071973760307393,1.0
hd_mean_sin_heading,0.008878987904808566,0.011559044607472369,0.009770442391438983,0.008762982062749503,0.010432318818128228,0.00988075515691953,0.001160387992858773,1.0
ix_speed_x_hour_sin,0.00973409612096976,0.009688571270662694,0.012532209391265314,0.005647382983937521,0.008592600787663884,0.009238972110899834,0.0024804237198013126,1.0
vertical_horizontal_motion_ratio,0.009296999885953006,0.0045419739138964355,0.005255294425359547,0.009863819532612617,0.006325402301146421,0.007056698011793605,0.0023980496922593447,1.0
speed_p50,0.00921049183576128,0.005437454473297132,0.006205754778145889,0.004133979231756957,0.005950369310182335,0.0061876099258287185,0.0018691281134108997,1.0
mean_speed_real,0.00805304066170176,0.004791930166607727,0.005717529892435125,0.00692269214162855,0.0030301416667922743,0.005703066905833087,0.0019355083982063805,1.0
energy_vertical_mean,0.005351072805257595,0.004431939664617857,0.004019676031004615,0.008939029274739219,0.003726898809426671,0.005293723317009192,0.002127930395791305,1.0
rv_p50,0.00526455372755541,0.004756378287900653,0.004502665577481912,0.008139711135894512,0.0033076846071335986,0.005194198667193217,0.0017965128398710053,1.0
is_morning,0.004134796181464728,0.005721246827165127,0.005487548488351757,0.004175503906384326,0.005891767648159574,0.005082172610305103,0.0008584520689979805,1.0
heading_mean,0.004911749986638569,0.006215939503401713,0.003975030064065188,0.004915166263856019,0.005371815910776623,0.005077940345747623,0.0008142374741406544,1.0
hd_heading_mean,0.0018884214900311003,0.005937996717180982,0.004307295822559731,0.0036318034193616455,0.00548637881987557,0.004250379253801806,0.001607829878020847,1.0
energy_total_mean,0.003925777616391346,0.002629495695998685,0.004692659334640026,0.006009242319632069,0.003858399390237355,0.004223114871379896,0.0012421525838146772,1.0
abs_rv_mean,0.006689015223860562,0.0024425090477738776,0.0024069492676865867,0.003953721378182173,0.002574707353496297,0.0036133804541998993,0.0018357981267820482,1.0
